token1,token2,token3,token1_freq,token2_freq,token3_freq,observed_freq,expected_freq,PMI
C4,C5,C12,6,18,9,3,0.00418381226218557,6.57514471230887
C1,C4,C12,125,6,9,3,0.0290542518207331,4.63720273290274
C1,C4,C5,125,6,18,5,0.0581085036414662,4.45488117610878
A24,D5,ANT,69,5,26,3,0.038609872419552,4.35285956171647
C1,C12,C13,125,9,8,3,0.0387390024276442,4.34952066045095
A24,B12,ANT,69,6,26,3,0.0463318469034624,4.17053800492251
A1,D5,ANT,136,5,26,4,0.0761006181023054,3.96199325302946
E1,F5,F12,17,36,22,3,0.0579535476317557,3.94672578089867
F12,F13,G1,22,9,97,3,0.0826690311805926,3.59152250757139
C1,C5,C12,125,18,9,3,0.0871627554621994,3.53859044423463
A1,B12,ANT,136,6,26,3,0.0913207417227665,3.49198962378372
B4,C1,F12,8,125,22,3,0.0946953392675746,3.45570278442886
D15,G1,G2,11,97,23,3,0.105632650952979,3.34640004953841
C1,F12,F13,125,22,9,3,0.106532256676021,3.33791974877247
A1,D33,H1,136,5,49,3,0.143420395654345,3.04058742048853
C1,E1,F14,125,17,16,3,0.146347342504433,3.02038471317101
A1,A24,D5,136,69,5,4,0.201959332656118,2.98598328645368
A1,E1,F14,136,17,16,3,0.159225908644824,2.93604356473726
A1,G1,G7,136,97,3,3,0.170348306675161,2.86852236386177
B10,F5,F12,50,36,22,3,0.170451610681634,2.86791611952674
A1,B10,B12,136,50,6,3,0.17561681100532,2.83806315637706
C1,F15,G1,125,4,97,3,0.208760179748971,2.66518143984374
B2,B10,F5,28,50,36,3,0.216938413594807,2.62675406270985
A1,F15,G1,136,4,97,3,0.227131075566881,2.58084029140999
A24,B10,ANT,69,50,26,5,0.38609872419552,2.56110009248841
C1,F13,G1,125,9,97,6,0.469710404435185,2.54739840418735
A1,A24,B12,136,69,6,3,0.242351199187342,2.51597965720794
C1,C12,G1,125,9,97,5,0.469710404435185,2.3650768473934
A1,F13,G1,136,9,97,5,0.511044920025482,2.28073569895965
C1,C13,G1,125,8,97,4,0.417520359497943,2.25971633173557
C1,F5,F12,125,36,22,4,0.426129026704086,2.23930746010436
A3,A24,H1,22,69,49,3,0.32016494206367,2.23753126070311
A1,C1,F13,136,125,9,6,0.658563041269951,2.20945449695468
A1,A3,ANT,136,22,26,3,0.334842719650144,2.19270663965346
A1,F5,F14,136,36,16,3,0.337184277130215,2.18573797033737
A3,G1,H1,22,97,49,4,0.450086947538782,2.18460885924877
B10,C1,E1,50,125,17,4,0.457335445326355,2.16863250243443
A1,B10,F14,136,50,16,4,0.468311496014187,2.14491597581711
A1,E1,F5,136,17,36,3,0.358258294450853,2.12511334852093
B10,F5,H1,50,36,49,3,0.379642223790913,2.06713827477443
A1,A24,B1,136,69,13,4,0.525094264905907,2.03047184142624
A24,B2,H1,69,28,49,3,0.40748265353558,1.99636920388622
A24,B2,B10,69,28,50,3,0.415798626056714,1.9761664965687
C1,D15,G1,125,11,97,4,0.574090494309671,1.94126260061704
A3,C1,H1,22,125,49,4,0.580008953013894,1.93100610044985
A1,A24,B13,136,69,11,3,0.44431053184346,1.90984385363763
A1,A24,ANT,136,69,26,7,1.05018852981181,1.89694044880172
A1,F5,F12,136,36,22,3,0.463628381054045,1.86728423921883
C1,C5,G1,125,18,97,6,0.939420808870371,1.85425122362741
A1,B10,E1,136,50,17,3,0.497580964515074,1.7966092815489
A24,F5,H1,69,36,49,3,0.52390626883146,1.74505477560531
A1,A5,H1,136,19,49,3,0.54499750348651,1.70558635375619
B2,B10,C1,28,50,125,4,0.753258380537525,1.66964133631544
A1,B10,ANT,136,50,26,4,0.761006181023054,1.65940816003541
A3,C1,G1,22,125,97,6,1.14818098861934,1.65358052816526
B2,B10,G1,28,50,97,3,0.58452850329712,1.63556202266258
A24,C1,F14,69,125,16,3,0.593998037223877,1.61949155262997
C1,G1,G2,125,97,23,6,1.20037103355659,1.60912876559442
A1,D15,G1,136,11,97,3,0.624610457808922,1.56923937973151
A1,A3,H1,136,22,49,3,0.631049740879117,1.55898287956432
A1,A3,B10,136,22,50,3,0.643928307019507,1.5387801722468
A1,A24,F14,136,69,16,3,0.646269864499578,1.53515040419622
A1,A24,B2,136,69,28,5,1.13097226287426,1.48636024002679
A1,F14,G1,136,16,97,4,0.908524302267523,1.48222800274188
A1,A24,E1,136,69,17,3,0.686661731030802,1.47452578237978
A1,C1,F14,136,125,16,5,1.17077874003547,1.45176879525717
A1,A5,A24,136,19,69,3,0.767445464093249,1.36330014726956
A1,B2,C1,136,28,125,8,2.04886279506207,1.36215663656748
A24,B2,C1,69,28,125,4,1.03949656514178,1.34755783714633
A1,B10,F5,136,50,36,4,1.05370086603192,1.33398575960078
A1,B2,H1,136,28,49,3,0.803154215664331,1.31782082274743
A1,B2,B10,136,28,50,3,0.819545118024827,1.29761811542991
C1,F14,G1,125,16,97,3,0.835040718995885,1.27888707872385
C1,F12,G1,125,22,97,4,1.14818098861934,1.24811542005709
A1,A24,B10,136,69,50,7,2.01959332656118,1.24301398139506
A1,A3,A24,136,22,69,3,0.88862106368692,1.21669667307768
A24,B10,C1,69,50,125,6,1.85624386632462,1.17320445000155
A1,C1,E1,136,125,17,4,1.24395241128768,1.16800062212652
A1,F12,G1,136,22,97,4,1.24922091561784,1.16377427162334
A24,C1,ANT,69,125,26,3,0.9652468104888,1.13398373684827
A1,E1,G1,136,17,97,3,0.965307071159243,1.13392130847366
B10,C1,F5,50,125,36,3,0.968475060691104,1.13064483558275
A1,C1,C5,136,125,18,4,1.3171260825399,1.11084220828657
A1,C5,G1,136,18,97,3,1.02208984005096,1.07676289463371
A1,F5,H1,136,36,49,3,1.03262684871128,1.06650639446652
A1,A24,F5,136,69,36,4,1.45410719512405,1.01190226043167
B2,C1,G1,28,125,97,4,1.4613212582428,1.0069533632402
C1,G1,ZOO,125,97,21,3,1.0959909436821,1.0069533632402
A1,C1,G1,136,125,97,19,7.09784611146502,0.984647605725905
A1,A24,H1,136,69,49,5,1.97920146002996,0.926744452091363
A1,G1,ZOO,136,97,21,3,1.19243814672612,0.922612214806452
A1,B2,G1,136,28,97,4,1.58991752896817,0.922612214806452
A1,A3,C1,136,22,125,4,1.60982076754877,0.910171512824422
A1,C1,F12,136,125,22,4,1.60982076754877,0.910171512824422
A1,A3,G1,136,22,97,3,1.24922091561784,0.87609219917156
C1,G1,H1,125,97,49,6,2.5573122019249,0.852802683412945
A1,G1,G2,136,97,23,3,1.30600368450956,0.831640436600726
A1,C1,F5,136,125,36,6,2.6342521650798,0.823160135834792
A24,C1,H1,69,125,49,4,1.81911898899812,0.787942049210904
C1,F5,G1,125,36,97,4,1.87884161774074,0.755638934959297
A24,G1,H1,69,97,49,3,1.41163633546254,0.753862735558041
A1,B10,C1,136,50,125,7,3.65868356261084,0.648806748690015
A1,G1,H1,136,97,49,5,2.78235567569429,0.58613997818524
A1,C1,H1,136,125,49,5,3.58550989135862,0.332537219386321
A1,A24,C1,136,69,125,7,5.04898331640296,0.326723249520901
A24,C1,G1,69,125,97,4,3.60111310066975,0.105051368818148
