"","ID_machine","ID_geo","Symmetry","Inclination","Break","Parallel_width_shaft","Perpendicular_width_shaft","Width_before_shaft","Max_width","Distance_tip_to_shaft","Day","Area_under_curve","Max_force","Displacement_at_max_force","Modulus_automatic_young","Break_location","Compressive_displacement_max_force","Compressive_strain_displacement_max_force","Compressive_stress_at_max_force","Energy_at_max_force","Energy_to_X_intercept_at_modulus_automatic_young","Rep_type","PC1","PC2"
"1",1,1,"Yes","Distal/Proximal","No",7.3,7.3,1.8,9.9,11.9,"D1",0.3438,2.68,27.74,1.32,"-----",27.74,27.74,0.27,0.29,"0.00",2622,0.00412264323842311,0.0277106598523252
"2",2,2,"Yes","Distal/Proximal","No",7.6,8.5,2.1,12,11.4,"D1",0.4626,3.56,29.97,1.24,"-----",29.97,29.97,0.36,0.46,"0.00",2622,-0.00942451312688691,-0.0852214043906165
"3",3,3,"No","Distal","No",6,5.7,1.3,10.8,7.2,"D1",0.4207,2.31,24.06,1.41,"-----",24.06,24.06,0.23,0.31,"0.01",2321,-0.28814810436836,-0.31824613174733
"4",4,4,"No","Distal","No",7.4,7.2,2.8,11,6.5,"D1",0.4107,2.29,26.91,2.22,"-----",26.91,26.91,0.23,0.35,"0.01",2321,-0.265553071239881,-0.370290893796455
"5",5,5,"No","Distal","No",6.5,6.1,1.8,8.5,12.2,"D1",0.2761,1.85,23.87,1.17,"-----",23.87,23.87,0.19,0.17,"0.00",658,-0.408829266796194,0.024164527185868
"6",6,6,"No","Distal","No",6,7.2,1.5,7.6,9.2,"D1",0.2984,1.91,22.16,1.34,"-----",22.16,22.16,0.19,0.17,"0.00",658,-0.296592342980955,-0.00162613654104045
"7",7,7,"Yes","Horizontal","No",7.6,7.4,4.1,20.7,10.9,"D1",0.8574,3.79,29.73,3.9,"-----",29.73,29.73,0.38,0.85,"0.00",240,0.058107857965594,-0.358907520608318
"8",8,8,"Yes","Horizontal","No",7.8,6.3,3.8,18.4,7.9,"D1",0.8317,3.79,22.24,4.02,"-----",22.24,22.24,0.38,0.56,"0.00",240,-0.0862598909817973,-0.351706446562721
"9",9,9,"Yes","Horizontal","No",6.4,6.9,2.2,4.8,6.5,"D1",0.831,3.63,19.31,3.8,"-----",19.31,19.31,0.36,0.48,"-----",2831,0.22414802907779,-0.140219218004655
"10",10,10,"Yes","Horizontal","No",7.4,5.9,3.5,17.3,5.1,"D1",0.8155,3.68,19.13,3.76,"-----",19.13,19.13,0.37,0.46,"0.00",2831,-0.0450997876159503,-0.238173547757098
"11",11,11,"Yes","Distal/Proximal","No",6.4,5.8,2.2,10.8,7.7,"D1",0.4425,2.52,21.01,1.74,"-----",21.01,21.01,0.25,0.26,"0.00",126,0.102884768134721,-0.200846028085957
"12",12,12,"Yes","Distal/Proximal","No",6.4,5.9,1.8,12.6,6.6,"D1",0.4391,2.34,17.24,1.26,"-----",17.24,17.24,0.23,0.18,"-----",126,0.369782898721274,-0.122750859921292
"13",13,13,"No","Distal","No",8.2,5.5,2.3,9.3,13.1,"D1",0.3901,2.77,26.09,1.5,"-----",26.09,26.09,0.28,0.29,"0.00",154,0.069760245160709,0.203048389048314
"14",14,14,"No","Distal","No",7.9,6.2,1.8,11.4,13.5,"D1",0.3504,2.7,29.36,1.26,"-----",29.36,29.36,0.27,0.33,"0.00",154,0.010859129026196,0.200269281142144
"15",15,15,"No","Proximal","No",6.2,5.7,3.1,9.4,9.8,"D1",0.3557,2.17,27.51,2.88,"-----",27.51,27.51,0.22,0.32,"0.02",109,0.487945925312804,0.23222581381177
"16",16,16,"No","Proximal","No",5.5,5.4,2.5,9.5,7.8,"D1",0.3784,2.27,22.21,1.29,"-----",22.21,22.21,0.23,0.22,"0.00",109,0.471587846080534,0.164852965128473
"17",17,17,"Yes","Distal/Proximal","No",7.4,5.8,2.9,10.2,10.9,"D1",0.3844,2.45,27.86,1.55,"-----",27.86,27.86,0.24,0.34,"0.00",2836,-0.0447159628800378,0.0486945854182396
"18",18,18,"Yes","Distal/Proximal","No",7.1,7.6,2.5,11.1,15.7,"D1",0.3045,2.57,29.98,1.48,"-----",29.98,29.98,0.26,0.3,"0.00",2836,-0.0680925215076078,0.0556349454562656
"19",19,19,"Yes","Distal/Proximal","No",6.6,5.9,2,9.2,9.4,"D1",0.2886,1.71,22.23,0.93,"-----",22.23,22.23,0.17,0.17,"0.00",187,0.150551941531481,0.058447568828444
"20",20,20,"Yes","Distal/Proximal","No",5.7,5.9,1.3,9.5,7.8,"D1",0.326,1.96,20.66,1.1,"-----",20.66,20.66,0.2,0.18,"0.00",187,0.23488413407196,-0.0798741593442882
"21",21,21,"Yes","Distal/Proximal","No",6,6.4,2.5,8.2,15.1,"D1",0.2144,1.77,24.19,1.29,"-----",24.19,24.19,0.18,0.12,"0.00",101,-0.296967425741616,0.36675992578685
"22",22,22,"Yes","Distal/Proximal","No",6.2,6.2,2.3,8.2,15.6,"D1",0.2657,2.24,30,0.89,"-----",30,30,0.22,0.27,"0.00",101,-0.173504150033677,0.357819838154217
"23",23,23,"Yes","Distal/Proximal","No",8,5.5,2.1,7.6,13.5,"D1",0.344,2.55,28.47,1.22,"-----",28.47,28.47,0.25,0.31,"0.00",2181,-0.141213296269724,0.265108404924865
"24",24,24,"Yes","Distal/Proximal","No",7.9,7,2.9,10.1,13.1,"D1",0.3709,2.97,26.84,1.29,"-----",26.84,26.84,0.3,0.28,"0.00",2181,-0.321033431607639,0.124427024097911
"25",25,25,"Yes","Distal/Proximal","No",7.2,5.5,2.1,12.6,8.1,"D1",0.4358,2.4,24.06,1.63,"-----",24.06,24.06,0.24,0.3,"0.00",23,0.241090056634745,-0.112530348785623
"26",26,26,"Yes","Distal/Proximal","No",6.2,5.7,2,10,8,"D1",0.3075,1.94,20.47,1.15,"-----",20.47,20.47,0.19,0.19,"0.00",23,0.227598117699795,0.0115150721294553
"27",27,27,"No","Distal","No",7.5,5.8,1.6,8.8,15.3,"D1",0.2479,2.2,29.99,1.4,"-----",29.99,29.99,0.22,0.25,"0.00",1810,-0.227737741010686,0.188701807438851
"28",28,28,"No","Distal","No",7.2,5.8,2.5,7.8,13.8,"D1",0.2505,1.93,26.69,1.13,"-----",26.69,26.69,0.19,0.19,"0.00",1810,0.060636075422765,0.218718475546548
"29",29,29,"Yes","Distal/Proximal","No",6.8,8.2,1.3,8.2,6.6,"D1",0.2958,1.92,15.96,1.07,"-----",15.96,15.96,0.19,0.13,"-----",2321,-0.0407881619177776,-0.16770658840515
"30",1,1,"Yes","Distal/Proximal","No",6.2,5.6,1.1,11.6,8.5,"D2",0.3786,2.45,29.59,1.76,"-----",29.59,29.59,0.24,0.37,"0.01",2622,0.00412264323842311,0.0277106598523252
"31",2,2,"Yes","Distal/Proximal","No",6.9,5.8,1.8,12.9,8.6,"D2",0.3718,2.21,24.19,0.96,"-----",24.19,24.19,0.22,0.26,"0.00",2622,-0.00942451312688691,-0.0852214043906165
"32",3,3,"No","Proximal","No",6,5.8,1.5,12.1,6.7,"D2",0.3395,1.91,20.19,1.61,"-----",20.19,20.19,0.19,0.2,"0.00",2321,-0.28814810436836,-0.31824613174733
"33",4,4,"No","Proximal","No",6.3,6,3,14.9,4.6,"D2",0.3818,2.01,16.48,1.79,"-----",16.48,16.48,0.2,0.16,"0.00",2321,-0.265553071239881,-0.370290893796455
"34",5,5,"No","Proximal","No",5.6,5.5,1.9,10.5,4.7,"D2",0.4905,2.74,20.39,2.3,"-----",20.39,20.39,0.27,0.33,"0.00",658,-0.408829266796194,0.024164527185868
"35",8,6,"No","Proximal","No",5.8,5.9,1.7,9.1,4.5,"D2",0.3605,1.99,15.26,2.62,"-----",15.26,15.26,0.2,0.18,"0.00",658,-0.296592342980955,-0.00162613654104045
"36",9,7,"Yes","Distal/Proximal","No",8.4,7.6,4.3,21.3,12,"D2",0.4294,3.67,29.99,0.97,"-----",29.99,29.99,0.37,0.43,"0.00",240,0.058107857965594,-0.358907520608318
"37",10,8,"Yes","Distal/Proximal","No",7.4,6.6,3.5,18.8,6.9,"D2",0.6059,3.93,26.86,1.41,"-----",26.86,26.86,0.39,0.5,"0.00",240,-0.0862598909817973,-0.351706446562721
"38",11,9,"Yes","Distal/Proximal","No",8.3,5.8,2.3,13.3,10.6,"D2",0.4423,2.84,30,2.21,"-----",30,30,0.28,0.44,"0.01",2831,0.22414802907779,-0.140219218004655
"39",12,10,"Yes","Distal/Proximal","No",6.1,6,3.1,12.6,9.2,"D2",0.4687,3.15,22.49,1.46,"-----",22.49,22.49,0.32,0.29,"0.00",2831,-0.0450997876159503,-0.238173547757098
"40",13,11,"Yes","Distal/Proximal","No",6.2,5.8,2.3,11.1,6.4,"D2",0.372,2.11,23.29,2.34,"-----",23.29,23.29,0.21,0.26,"0.02",126,0.102884768134721,-0.200846028085957
"41",14,12,"Yes","Distal/Proximal","No",5.7,6,2.2,10.8,6.6,"D2",0.3131,1.91,19.89,0.59,"-----",19.89,19.89,0.19,0.15,"0.00",126,0.369782898721274,-0.122750859921292
"42",15,13,"No","Proximal","No",6.3,5.5,2.1,9.1,10.4,"D2",0.3807,2.33,25.18,2.39,"-----",25.18,25.18,0.23,0.3,"0.02",154,0.069760245160709,0.203048389048314
"43",16,14,"No","Proximal","No",6.9,5.9,2.4,10.9,7.6,"D2",0.4432,2.57,23.07,1.39,"-----",23.07,23.07,0.26,0.31,"0.00",154,0.010859129026196,0.200269281142144
"44",17,15,"No","Distal","No",6.2,5.7,2.4,11.7,10.4,"D2",0.3319,2.44,25.87,1.05,"-----",25.87,25.87,0.24,0.25,"0.00",109,0.487945925312804,0.23222581381177
"45",18,16,"No","Distal","No",6.3,5.8,2,9.7,8.2,"D2",0.3137,2.03,22.43,1.24,"-----",22.43,22.43,0.2,0.18,"0.00",109,0.471587846080534,0.164852965128473
"46",19,17,"Yes","Distal/Proximal","No",6.8,5.7,2.5,10.1,7.2,"D2",0.4285,2.48,22.69,2.14,"-----",22.69,22.69,0.25,0.28,"0.03",2836,-0.0447159628800378,0.0486945854182396
"47",20,18,"Yes","Distal/Proximal","No",7.6,5.9,2.8,13.4,12.4,"D2",0.3512,2.33,29.97,1.26,"-----",29.97,29.97,0.23,0.35,"0.00",2836,-0.0680925215076078,0.0556349454562656
"48",21,19,"Yes","Distal/Proximal","No",6.2,5.6,1.5,9.4,6.6,"D2",0.3063,2.13,21.44,0.93,"-----",21.44,21.44,0.21,0.2,"0.00",187,0.150551941531481,0.058447568828444
"49",22,20,"Yes","Distal/Proximal","No",5.2,5.6,1.2,9.3,8.2,"D2",0.2796,1.74,16.01,1.29,"-----",16.01,16.01,0.17,0.11,"0.00",187,0.23488413407196,-0.0798741593442882
"50",23,21,"Yes","Distal/Proximal","No",5.6,6.3,1.9,7.9,12.8,"D2",0.2811,1.85,23.95,1.52,"-----",23.95,23.95,0.18,0.18,"0.00",101,-0.296967425741616,0.36675992578685
"51",24,22,"Yes","Distal/Proximal","No",6.6,5.8,2.4,9.9,9.8,"D2",0.3128,2.14,21.61,1.25,"-----",21.61,21.61,0.21,0.19,"0.00",101,-0.173504150033677,0.357819838154217
"52",25,23,"Yes","Distal/Proximal","No",7.8,5.6,2.4,10.4,8.7,"D2",0.445,2.66,25.13,1.23,"-----",25.13,25.13,0.27,0.33,"0.00",2181,-0.141213296269724,0.265108404924865
"53",26,24,"Yes","Distal/Proximal","No",8.1,5.3,3.2,11.2,9,"D2",0.5012,3.3,26.46,1.78,"-----",26.46,26.46,0.33,0.4,"0.00",2181,-0.321033431607639,0.124427024097911
"54",27,25,"Yes","Distal/Proximal","No",6.2,5.7,1.6,10.2,8,"D2",0.4562,2.84,21.53,1.18,"-----",21.53,21.53,0.28,0.27,"0.00",23,0.241090056634745,-0.112530348785623
"55",28,26,"Yes","Distal/Proximal","No",5.7,5.8,1.8,11.4,8.9,"D2",0.3276,2.21,20.09,2.22,"-----",20.09,20.09,0.22,0.17,"0.01",23,0.227598117699795,0.0115150721294553
"56",29,27,"No","Proximal","No",6.4,5.9,1.7,13.9,8.1,"D2",0.3514,2.14,20.7,2.13,"-----",20.7,20.7,0.21,0.2,"0.01",1810,-0.227737741010686,0.188701807438851
"57",30,28,"No","Proximal","No",6.7,5.8,1.8,13.3,9.9,"D2",0.4033,2.31,24.19,2.23,"-----",24.19,24.19,0.23,0.28,"0.02",1810,0.060636075422765,0.218718475546548
"58",31,29,"Yes","Distal/Proximal","No",5.8,5.7,1.5,9.7,6.1,"D2",0.3362,1.86,19.58,1.83,"-----",19.58,19.58,0.19,0.22,"0.00",2321,-0.0407881619177776,-0.16770658840515
"59",1,1,"Yes","Horizontal","No",5,6.3,1.7,20.1,3.7,"D3",0.7543,3.38,20.66,3.68,"-----",20.66,20.66,0.34,0.48,"0.00",2622,0.00412264323842311,0.0277106598523252
"60",2,2,"Yes","Horizontal","No",6.3,5.6,1.4,19.5,4.5,"D3",0.7628,3.4,23.94,3.96,"-----",23.94,23.94,0.34,0.61,"0.00",2622,-0.00942451312688691,-0.0852214043906165
"61",3,3,"No","Horizontal","No",5.2,5.8,1.4,12.6,4.7,"D3",0.4958,2.35,20.48,2.53,"-----",20.48,20.48,0.24,0.33,"-----",2321,-0.28814810436836,-0.31824613174733
"62",4,4,"No","Horizontal","No",7.1,6.3,1.9,13,6.7,"D3",0.4935,2.53,17.71,3.47,"-----",17.71,17.71,0.25,0.32,"-----",2321,-0.265553071239881,-0.370290893796455
"63",5,5,"No","Horizontal","No",5.9,5.3,1.1,17.4,3.2,"D3",0.6631,3.46,16.58,3.42,"-----",16.58,16.58,0.35,0.34,"0.00",658,-0.408829266796194,0.024164527185868
"64",6,6,"No","Horizontal","No",5.8,6,0.8,13.1,3.8,"D3",0.5248,2.8,18.77,2.75,"-----",18.77,18.77,0.28,0.34,"0.00",658,-0.296592342980955,-0.00162613654104045
"65",7,7,"Yes","Distal/Proximal","No",8,6,3.8,20.7,11.6,"D3",0.4595,3.58,27.27,2.27,"-----",27.27,27.27,0.36,0.36,"0.02",240,0.058107857965594,-0.358907520608318
"66",8,8,"Yes","Distal/Proximal","No",9.1,6.5,2.2,19.6,6.9,"D3",0.6146,3.76,23.45,2.24,"-----",23.45,23.45,0.38,0.43,"0.01",240,-0.0862598909817973,-0.351706446562721
"67",10,9,"Yes","Distal/Proximal","No",7,5.9,2.8,12,9,"D3",0.3518,2.07,19.02,1.89,"-----",19.02,19.02,0.21,0.16,"0.01",2831,0.22414802907779,-0.140219218004655
"68",11,10,"Yes","Distal/Proximal","No",8.2,6.6,2.5,14.7,9.6,"D3",0.4372,3.07,25.24,1.12,"-----",25.24,25.24,0.31,0.31,"0.00",2831,-0.0450997876159503,-0.238173547757098
"69",12,11,"Yes","Horizontal","No",6.2,5.9,1.5,14.5,5.3,"D3",0.5549,2.87,19.61,2.99,"-----",19.61,19.61,0.29,0.37,"0.00",126,0.102884768134721,-0.200846028085957
"70",13,12,"Yes","Horizontal","No",6.1,7.1,1.3,14.6,4.1,"D3",0.5013,2.44,15.94,3.32,"-----",15.94,15.94,0.24,0.26,"0.00",126,0.369782898721274,-0.122750859921292
"71",14,13,"No","Horizontal","No",6.4,6.1,1,22.3,5.9,"D3",0.8803,4.41,21.82,3.73,"-----",21.82,21.82,0.44,0.6,"0.00",154,0.069760245160709,0.203048389048314
"72",15,14,"No","Horizontal","No",6.7,6.4,1,23.9,4.1,"D3",0.8495,4.19,19.6,3.32,"-----",19.6,19.6,0.42,0.48,"0.00",154,0.010859129026196,0.200269281142144
"73",16,15,"No","Horizontal","No",6.4,5.6,1.1,22.4,2.7,"D3",0.8943,4.25,17.56,4.09,"-----",17.56,17.56,0.43,0.46,"0.00",109,0.487945925312804,0.23222581381177
"74",17,16,"No","Horizontal","No",6.2,6,1.3,20,4.3,"D3",0.8021,3.71,19.41,3.48,"-----",19.41,19.41,0.37,0.48,"-----",109,0.471587846080534,0.164852965128473
"75",18,17,"Yes","Horizontal","No",6.9,6.3,1.9,19.7,5.6,"D3",0.7233,3.34,19.47,3.58,"-----",19.47,19.47,0.33,0.44,"0.00",2836,-0.0447159628800378,0.0486945854182396
"76",19,18,"Yes","Horizontal","No",7,5.8,1.9,22.6,5.8,"D3",0.7812,3.67,18.4,3.45,"-----",18.4,18.4,0.37,0.44,"-----",2836,-0.0680925215076078,0.0556349454562656
"77",20,19,"Yes","Horizontal","No",5.2,5.7,1.2,16.3,4.4,"D3",0.5308,2.57,18.16,3.89,"-----",18.16,18.16,0.26,0.36,"-----",187,0.150551941531481,0.058447568828444
"78",21,20,"Yes","Horizontal","No",5.4,6.1,1.1,15.1,4.8,"D3",0.5192,2.43,16.12,3.64,"-----",16.12,16.12,0.24,0.28,"-----",187,0.23488413407196,-0.0798741593442882
"79",22,21,"Yes","Horizontal","No",5.2,6.1,1,25.5,3.6,"D3",0.9445,4.24,20.19,4.24,"-----",20.19,20.19,0.42,0.58,"0.00",101,-0.296967425741616,0.36675992578685
"80",23,22,"Yes","Horizontal","No",6.6,6.2,1.2,27.2,4.3,"D3",0.9599,4.54,20.24,3.7,"-----",20.24,20.24,0.45,0.56,"0.00",101,-0.173504150033677,0.357819838154217
"81",24,23,"Yes","Horizontal","No",6.7,5.6,1.6,22.8,2.4,"D3",0.9532,4.52,20.14,4.2,"-----",20.14,20.14,0.45,0.6,"0.00",2181,-0.141213296269724,0.265108404924865
"82",25,24,"Yes","Horizontal","No",7.2,5.6,2.4,22.7,3.6,"D3",0.9877,4.36,19.39,4.07,"-----",19.39,19.39,0.44,0.57,"-----",2181,-0.321033431607639,0.124427024097911
"83",26,25,"Yes","Horizontal","No",5.7,5.9,2.1,17.5,5.7,"D3",0.614,2.83,14.77,3.74,"-----",14.77,14.77,0.28,0.28,"0.00",23,0.241090056634745,-0.112530348785623
"84",27,26,"Yes","Horizontal","No",5.7,5.8,1.5,17.8,4.4,"D3",0.6268,3.13,12.11,4.19,"-----",12.11,12.11,0.31,0.25,"-----",23,0.227598117699795,0.0115150721294553
"85",28,27,"No","Horizontal","No",5.8,6.3,1.2,22.3,3.7,"D3",0.8037,3.67,15.29,3.94,"-----",15.29,15.29,0.37,0.36,"-----",1810,-0.227737741010686,0.188701807438851
"86",29,28,"No","Horizontal","No",6.4,5.8,1.2,23.8,3.1,"D3",0.9934,4.53,21.56,3.93,"-----",21.56,21.56,0.45,0.66,"-----",1810,0.060636075422765,0.218718475546548
"87",30,29,"Yes","Horizontal","No",6.4,5.8,1.5,12.8,4.9,"D3",0.4899,2.65,16.37,3.04,"-----",16.37,16.37,0.27,0.27,"0.00",2321,-0.0407881619177776,-0.16770658840515
